CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U92111GA1977PTC000314,ADAKAR FILMS (GOA) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,500000.00,1977-06-25,"DAMODAR PRASADNEAR DON BOSCO SCHOOL   PANAJI,GOA,Goa,403001-India",Unlisted,Strike Off,goa,Indian,92111,"Community, personal and Social Services"
U92120GA2015PTC007748,SCUBA EVOLUTION INDIA PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,5000000.00,4500100.00,2015-10-27,"H.NO.376/A,   TITO WADDO,,NERUL,North Goa,Goa,403114-India",Unlisted,Active,goa,Indian,92120,"Community, personal and Social Services"
U92140GA2008PTC005917,SHAYANA ENTERTAINMENTS AND HOSPITALITY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2008-10-13,"HOUSE NO. 892-H-1, POTKEM-WELWADA   POINGUINIM,CANACONA,Goa,403702-India",Unlisted,Active,goa,Indian,92140,"Community, personal and Social Services"
U92140GA2013PTC007291,SCANDYTECH AUDIO VISUAL SERVICES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,110000.00,108770.00,2013-08-10,"F202, 2nd Floor,   Pamela Palms,,Anjuna,North Goa,Goa,403509-India",Unlisted,Strike Off,goa,Indian,92140,"Community, personal and Social Services"
U92141GA2005PTC003832,MALAKITE MUSIC ENTERTAINMENT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2005-02-11,"HOUSE NO 102 /1ALTA VADDO   ASSAGAO  BARDEZ,GOA,North Goa,Goa,403507-India",Unlisted,Strike Off,goa,Indian,92141,"Community, personal and Social Services"
U92142GA2006PTC004319,KORMALI ANNA MARIA PERFORMING ARTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,6000000.00,100000.00,2006-01-03,"1 PLAZA MARIA LILIABEHIND ST ALEX CHURCH   NAIKA VADDO CALNAGUTE,BARDEZ GOA,Goa,403516-India",Unlisted,Active,goa,Indian,92142,"Community, personal and Social Services"
U92142GA2006PTC004347,RON FAY GALLERY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1500000.00,1481000.00,2006-01-17,"302  MARIA ROSE II   NAIKAVADDO,CALANGUTE,Goa,403516-India",Unlisted,Active,goa,Indian,92142,"Community, personal and Social Services"
U92199GA1999PTC002652,ISLAND HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,200000000.00,182000000.00,1999-01-22,"X-14, BUILDING A-1, 4TH FLOOR,   JAIRAM COMPLEX, NAVY NAGER, MALA,PANAJI,Goa,403001-India",Unlisted,Active,goa,Indian,92199,"Community, personal and Social Services"
U92199GA2004PTC003381,INSTANT KARMA ENTERTAINMENT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2004-02-05,"H NO 664 CHAPORABADEM  P O ANJUNA   BARDEZ,GOA,Goa,403509-India",Unlisted,Under process of striking off,goa,Indian,92199,"Community, personal and Social Services"
U92199GA2005PTC003799,SHADOW BOX ENTERTAINMENT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2005-01-28,"AT ILPL ROOM 2FOMENTO RESORTS & HOTELS LTD   VAINGUINIM BEACH,GOA,Goa,000000-India",Unlisted,Strike Off,goa,Indian,92199,"Community, personal and Social Services"
U92410GA2008PTC005878,COUTINHO LEISURES SERVICES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2008-08-27,"FIRST BUILDING,FIRST FLOOR,GREEN HILL APTS   ST JOAQUIM ROAD, BORDA,MARGAO,South Goa,Goa,403602-India",Unlisted,Strike Off,goa,Indian,92410,"Community, personal and Social Services"
U92410GA2022PTC015129,OCEAN SEVEN GAMING AND ENTERTAINMENT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,150000000.00,95000000.00,2022-02-01,"HOUSE NO - 210, SHIV TOWER, 14TH PATTO PLAZA,   PATTO,PANAJI,North Goa,Goa,403001-India",Unlisted,Active,goa,Indian,92410,"Community, personal and Social Services"
U92412GA2003PTC003262,GOA DIVECENTER PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,600000.00,570000.00,2003-07-22,"E 03 ANETTE BEACH APARTMENTSNO D2 208 KHOBRA   VADDO CALANGUTE BAGA,GOA,Goa,403516-India",Unlisted,Strike Off,goa,Indian,92412,"Community, personal and Social Services"
U92412GA2011PTC006656,EXTREME SPORTS ENTERTAINMENT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2011-04-19,"House no 525   VAGATOR BEACH,BARDEZ,North Goa,Goa,403509-India",Unlisted,Strike Off,goa,Indian,92412,"Community, personal and Social Services"
U55101GA2007PTC005054,MERRYFIELD LEISURE RESORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-01-31,"A-1, CARDOSO BUILDING,   PATTO, NEAR KTC BUS STAND, PATTO,PANAJI,North Goa,Goa,403001-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005059,GODDARD HOLIDAY HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-02-01,"COLVA TAVERNS, FOUR ROADS   SALCETE,MARGAO,South Goa,Goa,403708-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005077,BROWN HOLIDAY HOMES PRIVATE LIMITED.,ROC Goa,Company limited by shares,Non-government company,Private,4500000.00,0.00,2007-02-08,"5, PLAZA MARIA LILIA   BEHIND ST ALEX CHURCH, NAIKA VADDO,CALANGUTE,North Goa,Goa,403516-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005100,JONATHAN HOLIDAY HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-02-23,"1, PLAZA MARIA LILIA   BEHIND ST ALEX CHURCH, NAIKA VADDO,CALANGUTE,North Goa,Goa,403516-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005149,GYLES HOLIDAY HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-03-15,"FLAT NO 104 BLOCK B   MARIANO GRACINDA APTS, BISHOP ALEX ROAD,CALANGUTE,North Goa,Goa,403516-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005166,INGVAR EVA HOLIDAY RESORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-03-22,"C/o Adv. A. F. Cordeiro, HouseNo. 62   Travessa Pinto Cordeiro, Angodd,Mapusa,North Goa,Goa,403507-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005214,PALM VILLA HOLIDAY HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-04-03,"S-19, SECOND FLOOR   APNA BAZAR,MARGAO,South Goa,Goa,403601-India",Unlisted,Strike Off,goa,Indian,55101,Trading
