CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U85100GA2022PTC015629,YESHHRAJ AYURVEDA HEALTH PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,500000.00,2022-11-23,"SHOP NO.5 WING A,   SANGOLDA RESIDENCY, SANGOLDA,BARDEZ,North Goa,Goa,403521-India",Unlisted,Active,goa,Indian,85100,"Community, personal and Social Services"
U85190GA2007PTC005383,LIFESTYLE AND WELLNESS CLINICS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,0.00,2007-07-12,"G-4, DONA ROSA BLDG   PORBA VADDO,CALANGUTE,North Goa,Goa,403516-India",Unlisted,Strike Off,goa,Indian,85190,"Community, personal and Social Services"
U85191GA2005PTC003938,AROMATICA WELLBEING CENTRE PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,450000.00,450000.00,2005-03-23,"H NO 1049 GRANDE PEDDEM ANJUNA, ,   BARDEZ,GOA,Goa,403509-India",Unlisted,Under process of striking off,goa,Indian,85191,"Community, personal and Social Services"
U17299GA2020PTC014559,CASA DE APPARELS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-10-29,"Office NO 301, Rizvi Chambers, Caetanode   Albuquerque Road, Panjim Tiswadi,Panaji,North Goa,Goa,403001-India",Unlisted,Strike Off,goa,Indian,17299,Manufacturing (Textiles)
U18101GA2013PTC007334,ARTASIA PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-10-01,"House No 467/47   Temmar Waddo, Assagao,Bardez,North Goa,Goa,403507-India",Unlisted,Strike Off,goa,Indian,18101,Manufacturing (Textiles)
U20114GA2024PTC016482,MERLION PLASTICS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-03-22,"C/o. Maria C Fernandes,,H.No 254, Khalcha Wada,,Bardez,North Goa,Goa,403524-India",Unlisted,Active,goa,Indian,20114,"Manufacturing (Metals and Chemicals, and products thereof)"
U51226GA2005PTC003996,DUNAGIRI TEAS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2005-04-20,"NORONHA HAVENROW VILLA NO  3   SIOLIM  SALCETE,GOA,Goa,403716-India",Unlisted,Strike Off,goa,Indian,51226,Trading
U51392GA2003PTC003184,KATHAK METALS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,100000.00,2003-02-05,"231,BHAVANI SHANKAR CHAMBERS,GAMESJ MAGAR,   KHANDOLA,,GOA,Goa,000000-India",Unlisted,Under process of striking off,goa,Indian,51392,Trading
U51420GA2013PTC007271,SHIVRAM KRISHNA IRON AND STEEL TRADERS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-07-15,"235/J, KARLE RIVER VILLE   PULWADDO,BENAULIM,South Goa,Goa,403716-India",Unlisted,Active,goa,Indian,51420,Trading
U72900GA2001PTC003040,SEROTONIN MEDIA PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2001-10-30,"XIMERANNA WADDO   CANDOLIM,GOA,Goa,403515-India",Unlisted,Under process of striking off,goa,Indian,72900,Business Services
U72900GA2005PTC004207,TEKNORIX SOLUTIONS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,250000.00,2005-11-09,"A 1ROSARY  COMMERCIAL ARCADENEAR  ROSARY CHURCH   NAVELIM,GOA,Goa,403707-India",Unlisted,Strike Off,goa,Indian,72900,Business Services
U72900GA2008PTC005853,INFOZONE INDIA PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,0.00,2008-08-04,"Shop No.5, Modern Market Complex,,Vasco Da Gama,South Goa,Goa,403802-India",Unlisted,Strike Off,goa,Indian,72900,Business Services
U72900GA2012PTC006968,ETHERNETXPRESS INDIA PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,4000000.00,200000.00,2012-06-14,"S.2, OFFICE NO. 201, NOVA CIDADE   NR. ORIAN HOTEL, PORVORIM,PORVORIM,North Goa,Goa,403521-India",Unlisted,Active,goa,Indian,72900,Business Services
U72900GA2017FTC013405,FEIJOA TECHNOLOGIES PRIVATE LIMITED,ROC Goa,Company limited by shares,subsidiary of company incorporated outside India,Private,100000.00,100000.00,2017-11-21,"No 109, 1st Floor, Gera Imperium II,   EDC Complex, Patto,Panaji,North Goa,Goa,403001-India",Unlisted,Strike Off,goa,Indian,72900,Business Services
U72900GA2019PTC014219,ACONZA RELIABLE TECHNOLOGIES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-12-30,"201 301, Shanta Building   18th June Road, Panjim,NORTH GOA,North Goa,Goa,403001-India",Unlisted,Strike Off,goa,Indian,72900,Business Services
U72900GA2021PTC014694,FAB FINIX PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-02-19,"C/O  HAFIZA SHAIKH PLOT NO 55 RUMDAMOL   DAVORLIM, MARGAO GOA,GOA,South Goa,Goa,403601-India",Unlisted,Active,goa,Indian,72900,Business Services
U72900GA2021PTC014742,SMVV EDUTECH ADVISORY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2021-03-22,"OFFICE NO 817 PATTO PLAZA, PANJIM - GOA   LANDMARK GERA'S IMPERIUM STAR,PANJIM,North Goa,Goa,403001-India",Unlisted,Active,goa,Indian,72900,Business Services
U72900GA2022PTC015579,MINDBLOOM VENTURES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-10-18,"Flat No. 201, 'B' Block, Building   Kalpavriksha, Porvorim Socorro,,Bardez,North Goa,Goa,403521-India",Unlisted,Active,goa,Indian,72900,Business Services
U24110GA2006PTC004847,FUTURECHEM TECHNOLOGIES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,2000000.00,2000000.00,2006-09-28,"Plot No. L- 24/5, Cuncolim Industrial Estate,,Cuncolim,South Goa,Goa,403703-India",Unlisted,Strike Off,goa,Indian,24110,"Manufacturing (Metals and Chemicals, and products thereof)"
U24211GA2016PTC007845,BOC INDIA PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2016-03-11,"FLAT.NO 2, 4TH FLOOR, KARMA, PAES AVENUE   F.L. GOMES ROAD, NR. OLD BUS STAND,VASCO,South Goa,Goa,403802-India",Unlisted,Strike Off,goa,Indian,24211,"Manufacturing (Metals and Chemicals, and products thereof)"
U24231GA2009PTC006036,ANANYA CHEMPLAST PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2009-03-12,"S-15, JAIRAM COMPLEX,   NEVGI NAGAR,PANAJI,Goa,403001-India",Unlisted,Strike Off,goa,Indian,24231,"Manufacturing (Metals and Chemicals, and products thereof)"
U51909GA2005PTC004133,SUCCESS HOUSE IMPORT EXPORT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,376900.00,2005-09-12,"Navelcar Trade Centre, Office No. 6,   4th Floor, Opp. Azad Maidan, Panaji,Panaji,North Goa,Goa,403001-India",Unlisted,Strike Off,goa,Indian,51909,Trading
U51909GA2018PTC013800,NIVSAL PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-11-29,"SHOP NO.15, GROUND FLOOR,SURVEY NO-8/1,   UMIYA QUATRO D, COMMERCIAL,DABOLIM,South Goa,Goa,403801-India",Unlisted,Strike Off,goa,Indian,51909,Trading
U51909GA2020PTC014619,SPEXMOJO TECHNOLOGIES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,50000000.00,50000000.00,2020-12-23,"B.NO. 38, D23,   INDESTATE, KARASWADA MAPUSA,BARDEZ,North Goa,Goa,403507-India",Unlisted,Active,goa,Indian,51909,Trading
U70101GA1988PTC000841,ALCON RESORT HOLDINGS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,120000000.00,113500000.00,1988-07-08,"2nd Floor, Alcon Chambers,   Opposite Navhind Times, D. B. Marg,,Panaji,North Goa,Goa,403001-India",Unlisted,Active,goa,Indian,70101,Real Estate and Renting
U70101GA1990PTC001027,PURATAN REAL ESTATES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,100000.00,1990-03-06,"SALGAOCAR CENTRE, E4, MURGAON ESTATE,   OFF AIRPORT ROAD,CHICALIM,South Goa,Goa,403711-India",Unlisted,Active,goa,Indian,70101,Real Estate and Renting
U70101GA1994PTC001536,RAURAJE REAL ESTATES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,500.00,1994-03-04,"RUA CUNHAREVEIRA   PANAJIM,GOA,Goa,403001-India",Unlisted,Under process of striking off,goa,Indian,70101,Real Estate and Renting
U70101GA1999PTC002760,GANAPAL REAL ESTATES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,100000.00,1999-11-09,"SALGAOCAR HOUSEDR F L GOME4S ROAD   POST BOX NO 14 VASCO DA GAMA,GOA,Goa,403802-India",Unlisted,Active,goa,Indian,70101,Real Estate and Renting
U70101GA2004PTC003529,GREEN GROVE HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2004-06-17,"SURVEY NO  88/1BATTI VADO   ARPORA  BARDEZ,GOA,Goa,403518-India",Unlisted,Active,goa,Indian,70101,Real Estate and Renting
U70101GA2005PTC003767,SHARAVI CONSTRUCTIONS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,200000.00,100000.00,2005-01-04,"M-2 ROCK FELICIO APTSNEAR FOREST DEPARTMENT   SANTA CRUZ PONDA,GOA,Goa,403401-India",Unlisted,Active,goa,Indian,70101,Real Estate and Renting
U70101GA2006PTC004537,FARM HOUSE DEVELOPERS (GOA) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2006-03-30,"H. NO. A3131,SINGLA BHAWAN, OPP. GOLDEN   CHARIOT RESTAURANT,,GOGOL, MARGAO,GOA 403 601,Goa,000000-India",Unlisted,Strike Off,goa,Indian,70101,Real Estate and Renting
U70101GA2006PTC004689,WILSON PROPERTIES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2006-06-15,"F-2, THIRD FLOOR,NAVELKAR TRADE CENTRE,PANJIM,PANJIM,Goa,403001-India",Unlisted,Strike Off,goa,Indian,70101,Real Estate and Renting
U70101GA2008PTC005912,KYROS ENTERPRISES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,0.00,2008-09-21,"#1595, BEACH ROAD   VASVADDO,BENAULIM,South Goa,Goa,403716-India",Unlisted,Strike Off,goa,Indian,70101,Real Estate and Renting
U70102GA2011PTC006643,CRISPINE VALLEY VACATION HOUSING PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,150000.00,100000.00,2011-03-31,"A-14-A, CRISPINE VALLEY   GONGUEREM, VILLAGE ASSAGAON,BARDEZ,Goa,403520-India",Unlisted,Active,goa,Indian,70102,Real Estate and Renting
U85300GA2022NPL015305,MARINE DRISHTI AND COASTAL FOUNDATION,ROC Goa,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2022-05-24,"Flat No.1, Dourado House, Aivao   Caranzalem Dourado House, Caranzalem,Panaji,North Goa,Goa,403004-India",Unlisted,Active,goa,Indian,85300,"Community, personal and Social Services"
U85306GA2024PTC016508,PIESTUDY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-04-04,"H.No.801, Haldanwada,,Khandola, Marshel, Ponda,,Sanquelim,South Goa,Goa,403107-India",Unlisted,Active,goa,Indian,85306,"Community, personal and Social Services"
U85410GA2024PTC016447,DUFFSTAR VENTURES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,30670.00,2024-03-01,"H. No. 89/B, Fudlem Vaddo,Nagoa,Bardez,North Goa,Goa,403516-India",Unlisted,Active,goa,Indian,85410,"Community, personal and Social Services"
U85499GA2024NPL016600,KAKAR CENTRE FOR PSYCHOANALYSIS AND CULTURE FOUNDATION,ROC Goa,Company limited by shares,Non-government company,Private,1500000.00,20000.00,2024-05-16,"H. No 536 Pulwado Pequeno,Benaulim, Salcete,Salcete,South Goa,Goa,403716-India",Unlisted,Active,goa,Indian,85499,"Community, personal and Social Services"
U28999GA2022PTC015652,SAKMAN INDUSTRIES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1500000.00,750000.00,2022-12-05,"F.NO. S-1,Block E,   Suman Resi,Borda,South Goa,Goa,403601-India",Unlisted,Active,goa,Indian,28999,"Manufacturing (Metals and Chemicals, and products thereof)"
U29100GA2022PTC015367,TECHXCL INNOVATIONS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,48000.00,2022-06-27,"HOUSE NO BLDG-B/F4 MARTINS APTS.   ODLEM BHATT,PANJIM,North Goa,Goa,403002-India",Unlisted,Active,goa,Indian,29100,Manufacturing (Machinery and Equipments)
U29150GA1976PTC000293,STERLING MAGNETICS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,250000.00,1976-12-15,"SEA BIRD 44  LAKEVIEW COLONY MIRAMAR   PANAJI,GOA,Goa,403001-India",Unlisted,Strike Off,goa,Indian,29150,Manufacturing (Machinery and Equipments)
U29150GA1991PTC001115,CLEAN CAT CONVEYORS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,2500000.00,2500000.00,1991-02-19,"D2-40   Sancoale Industrial Estate,Zuarinagar,South Goa,Goa,403726-India",Unlisted,Active,goa,Indian,29150,Manufacturing (Machinery and Equipments)
U29304GA1991PTC001120,CROWN TECHNO APPLIANCES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,400200.00,1991-03-14,"D2/18, Sancoale Industrial Estate   Zuarinagar,Zuarinagar,Goa,403726-India",Unlisted,Active,goa,Indian,29304,Manufacturing (Machinery and Equipments)
U29306GA1994PTC001630,ACME REFRIGERATION AND AIRCONDITIONING EQUIPMENTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,100000.00,1994-07-15,"MAYFAIR APARTMENTSLUIS MIRANDA ROAD   MARGAO,NA,Goa,403601-India",Unlisted,Active,goa,Indian,29306,Manufacturing (Machinery and Equipments)
U45202GA2022PTC015150,BBIUR ADVERTISING PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2022-02-17,"Shop No.5, Building 'B' Block, JB Appt,   Aquem, Margao,Goa,South Goa,Goa,403601-India",Unlisted,Active,goa,Indian,45202,Construction
U45203GA2006PTC004853,SHIRDI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,5000000.00,0.00,2006-10-06,"FLAT NO.2, 3RD FLOOR   SAPNA PLAZA,MARGAO,Goa,403601-India",Unlisted,Strike Off,goa,Indian,45203,Construction
U72200GA1993PTC001393,GOAN RESIDENTIAL RESORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,489600.00,1993-07-14,"HOUSE NO 232  WARD C/2ALTO RIBANDAR   RIBANDAR,GOA,Goa,403006-India",Unlisted,Active,goa,Indian,72200,Business Services
U72200GA2000PTC002824,KIGG SYSTEMS INDIA PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,2500000.00,2500000.00,2000-03-01,"FF08 RANI PRAMILA ARCADE18TH JUNE ROAD   PANAJI,GOA,Goa,403001-India",Unlisted,Active,goa,Indian,72200,Business Services
U72200GA2009PTC005995,STEALTH INFO SOLUTIONS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,0.00,2009-01-20,"17/69, 2 KAMAT GARDENS   DATTAWADI,MAPUSA,North Goa,Goa,403507-India",Unlisted,Strike Off,goa,Indian,72200,Business Services
U72200GA2023PTC015729,ATOMUS ANALYTICS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2023-01-10,"HOUSE NO 387/A/1, CABESA,   ST CRUZ,,PANJIM,North Goa,Goa,403202-India",Unlisted,Active,goa,Indian,72200,Business Services
U80212GA2015PTC007731,INSTITUTE FOR INTERNATIONAL TALENT DEVELOPMENT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,200000.00,2015-10-07,"A-F 1, First Floor, Magnum Plaza   Zarina Towers II, St. Inez,Panaji,North Goa,Goa,403001-India",Unlisted,Active,goa,Indian,80212,"Community, personal and Social Services"
U80302GA2019PTC014211,TOSG CREATIVE EDUCATION PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-12-24,"95-3 P-12   The Emerald Isles,NAIKAWADO, VERLA CANCA,,North Goa,Goa,403510-India",Unlisted,Active,goa,Indian,80302,"Community, personal and Social Services"
U80902GA2021NPL015085,KRANTI YOGA INTERNATIONAL VEDIC RESEARCH & DEVELOPMENT FOUNDATION,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,10000.00,2021-12-20,"C/o - Mrs. Joaquina Cruzinha Fernandes   Patnem Beach, Canacona,Goa,South Goa,Goa,403702-India",Unlisted,Active,goa,Indian,80902,"Community, personal and Social Services"
U82199GA2024PTC016335,VINNEXA BUSINESS SOLUTIONS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,5000.00,2024-01-04,"House No 21/310/ A, Plot,No E/15,Survey No 262/ 11,Tiswadi,North Goa,Goa,403004-India",Unlisted,Active,goa,Indian,82199,"Community, personal and Social Services"
U25202GA2011PTC006632,AVNI PACKAGING SYSTEMS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,2500000.00,693000.00,2011-03-21,"D44 , CANACONA INDUSTRIAL ESTATE,   CANACONA GOA,SOUTH GOA,South Goa,Goa,403702-India",Unlisted,Active,goa,Indian,25202,"Manufacturing (Metals and Chemicals, and products thereof)"
U25207GA1998PTC002560,SAMUDRA PLASTRONICS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,2000000.00,40000.00,1998-06-03,"76KUNDAIM INDUSTRIAL ESTATE   KUNDAIM,GOA,Goa,000000-India",Unlisted,Strike Off,goa,Indian,25207,"Manufacturing (Metals and Chemicals, and products thereof)"
U25209GA1993PLC001430,SAGUN VINYL LIMITED,ROC Goa,Company limited by shares,Non-government company,Public,10000000.00,5000070.00,1993-09-03,"PLOT NO 2TIVIM INDUSTRIAL ESTATE   KARASWADA  MAPUSA,GOA,Goa,403507-India",Unlisted,Active,goa,Indian,25209,"Manufacturing (Metals and Chemicals, and products thereof)"
U73100GA1994PTC001615,SANDU RESEARCH FOUNDATION PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,100000.00,1994-06-23,"H.No 923/188,ALTO,SUCORRO,   PORVORIM 403521,PORVORIM,North Goa,Goa,403521-India",Unlisted,Active,goa,Indian,73100,"Community, personal and Social Services"
U73100GA2007PTC005013,ALEXANDER ARBOR TECHNOLOGY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-01-15,"BLOCK A D. K. GROUPS   F3, 4TH FLOOR, MEHRAJ CENTRE,MARGAO,South Goa,Goa,403601-India",Unlisted,Strike Off,goa,Indian,73100,"Community, personal and Social Services"
U24239GA1968PTC000080,WALLACE PHARMACEUTICALS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,55000000.00,26470000.00,1968-02-02,"3 RD FLOOR, DTC BUILDING,PATTO PLAZA,   EDC COMPLEX,PANAJI-,GOA.,Goa,403001-India",Unlisted,Active,goa,Indian,24239,"Manufacturing (Metals and Chemicals, and products thereof)"
U24241GA1988PTC000830,SUPER SOAPS (GOA) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,200000.00,200000.00,1988-06-09,"D-3  13 AND 14   BICHOLIM INDUSTRIAL ESTATE,BICHOLIM,Goa,403529-India",Unlisted,Active,goa,Indian,24241,"Manufacturing (Metals and Chemicals, and products thereof)"
U24295GA1995PTC001940,HI-TECH SEALANTS AND ADHESIVES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,100000.00,1995-10-09,"FLAT NO. 6, PLOT NO. 7,AIRPORT ROAD,   CHICALIM,,GOA.,South Goa,Goa,403711-India",Unlisted,Strike Off,goa,Indian,24295,"Manufacturing (Metals and Chemicals, and products thereof)"
U52291GA2025PTC017013,AYURTRAILS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2025-01-13,"SHOP NO 13 SAPANA CENTRE,D.V.ROAD, CHURCH SQUARE,Tiswadi,North Goa,Goa,403001-India",Unlisted,Active,goa,Indian,52291,"Transport, storage and Communications"
U52399GA2011PTC006781,SOHAN GAMING SOLUTIONS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,500000.00,2011-09-07,"H.NO.66, NEAR DARIUS AVENUE, KEUNEM, TALEIGAO   C/O MARIA Q FERNANDES,PANJIM,North Goa,Goa,403002-India",Unlisted,Strike Off,goa,Indian,52399,Trading
U52599GA1999PTC002740,YOUGANTAR MARKETING PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,500.00,1999-09-30,"T/2SHABANA CHAMBERS   PANAJI,GOA,Goa,403001-India",Unlisted,Under process of striking off,goa,Indian,52599,Trading
U52601GA2021PTC014976,ARTVMESTE PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,169500.00,2021-09-29,"610, 6th Floor, Dempo Towers,   Near Kadamba Bus Terminal, Patto Plaza,,Panaji,North Goa,Goa,403001-India",Unlisted,Active,goa,Indian,52601,Trading
U52609GA2021PTC014894,HAOCACAO PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,50690.00,2021-07-21,"House No. H/399/D2/SH-5, Visapu,   Gublawado, Oxel,,Siolim,North Goa,Goa,403517-India",Unlisted,Active,goa,Indian,52609,Trading
U74110GA2006PTC004738,LOBO CAPITAL FOREX AND TRAVELS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,6200000.00,6200000.00,2006-07-06,"FLAT NO 6, 2ND FLOOR,   GAMA APTS, ALTINHO, BARDEZ,MAPUSA,Goa,403001-India",Unlisted,Strike Off,goa,Indian,74110,Business Services
U74120GA2013PTC007278,TOMAS NAVLAKHI ENTERPRISES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,100000.00,2013-07-19,"The Dream House, H No 119/3,   Cortalim Nauta Vado, Saleset,Mormugao,South Goa,Goa,403710-India",Unlisted,Active,goa,Indian,74120,Business Services
U27310GA1997PTC002289,MOHIT ISPAT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,115000000.00,110000000.00,1997-03-03,"PLOT NO. 1, NAVELIM VILLAGE,,Bicholim,North Goa,Goa,403505-India",Unlisted,Active,goa,Indian,27310,"Manufacturing (Metals and Chemicals, and products thereof)"
U27320GA2017PTC013190,ANTA JEWELLERS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-04-05,"SHOP NO.74, FRANCISCO LOYOLA ROAD,   NEW MARGAO MARKET,,MARGAO,South Goa,Goa,403601-India",Unlisted,Active,goa,Indian,27320,"Manufacturing (Metals and Chemicals, and products thereof)"
U28229GA2025FTC017071,ROMBO INTERNATIONAL PRIVATE LIMITED,ROC Goa,Company limited by shares,subsidiary of company incorporated outside India,Private,5000000.00,5000000.00,2025-02-12,"Plot No I-7,Survey No 259, Verna Ind Estate Phase IV,Verna, South Goa, Salcete,Salcete,South Goa,Goa,403722-India",Unlisted,Active,goa,Indian,28229,Manufacturing (Machinery and Equipments)
U50200GA2000PTC002813,GALLONS AUTOMOBILES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,5500000.00,5300000.00,2000-02-14,"AJADHYAX PARK2ND FLOOR,ABOVE LIC OFFICE   COMBA, MARGAO,GOA,Goa,403601-India",Unlisted,Strike Off,goa,Indian,50200,Trading
U50219GA2022OPC015529,ZUARI SKY HEAVENS (OPC) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,One Person Company,1000000.00,10000.00,2022-09-22,"C/o Sanjay Vasant Satardekar   Nr. Elmonte Bogda,VascoDaGama,South Goa,Goa,403803-India",Unlisted,Active,goa,Indian,50219,"Transport, storage and Communications"
U50403GA2011PTC006691,AUTOMOTIVE RESOURCES (INDIA) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,500000.00,2011-05-27,"AF 1/2   AL AMEEN COMPLEX, CUJIRA,SANTA CRUZ,Goa,403005-India",Unlisted,Active,goa,Indian,50403,Trading
U51109GA1987PTC000778,STALLION SALES AND TIPS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1500000.00,702000.00,1987-10-20,"2 BHANAV APARTMENTSSHIRGAONKAR ROAD   PANJIM,GOA,Goa,403001-India",Unlisted,Active,goa,Indian,51109,Trading
U74900GA2008PTC005857,BLACKROSE INFRAPROJECTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,0.00,2008-08-08,"SHOP NO 2, SUKH SHANTI NIWAS   ID HOSPITAL ROAD, TISK,PONDA,North Goa,Goa,403401-India",Unlisted,Strike Off,goa,Indian,74900,Business Services
U74900GA2012PTC006859,PEREIRA HOLDINGS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,200000000.00,199600000.00,2012-01-13,"1562 Next to Reva House-On way to Benaulim Beach   vasvado Benaulim, salcete- South Goa-403,716,Benaulim,South Goa,Goa,403716-India",Unlisted,Amalgamated,goa,Indian,74900,Business Services
U74900GA2014PTC007402,PAI MANPOWER PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2014-01-11,"H.NO. 417/C, DINDIBAG   TALPAN, POINGINIM,CANACONA,South Goa,Goa,403702-India",Unlisted,Strike Off,goa,Indian,74900,Business Services
U74900GA2016PTC007851,AQUA DREDGING AND INFRASTRUCTURE PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2016-03-18,"D3-20, TIVIM INDUSTRIAL ESTATE   KARASWADA, MAPUSA,BARDEZ,North Goa,Goa,403526-India",Unlisted,Strike Off,goa,Indian,74900,Business Services
U45201GA1995PTC001831,PRIME SHELTER ESTATE DEVELOPERS AND BUILDERS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,300000.00,300000.00,1995-04-17,"ADMINISTRATIVE BLOCK, RESORT LAGOA AZUL,   LITTLE BAGA, ARPORA,BARDEZ,Goa,403518-India",Unlisted,Active,goa,Indian,45201,Construction
U45201GA2004PTC003725,PALVINDER DEVELOPERS AND CONTRACTORS PRI VATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,100000.00,2004-12-08,"5 MONICA APARTMENTSAIRPORT ROAD   CHICALIM,GOA,Goa,403711-India",Unlisted,Strike Off,goa,Indian,45201,Construction
